=== 11 修改项恢复核对（29f7033 path blob == aa9da33 path blob）===
分类	path	fix_blob(29f7033)	base_blob(aa9da33)	相等
恢复	README.md	a6ed4c92088b5fcf24f5e1c22949357de04a2b15	a6ed4c92088b5fcf24f5e1c22949357de04a2b15	是
恢复	knowledge/current-status.md	d8bb5b43a5591089f4b851424119eb9f8808b1c8	d8bb5b43a5591089f4b851424119eb9f8808b1c8	是
恢复	knowledge/development-workflow.md	1afcb2d4365125567f05dfcb70bdaf5eb26d3884	1afcb2d4365125567f05dfcb70bdaf5eb26d3884	是
恢复	knowledge/history/README.md	c6a299239a97e65102b89412f2f3dd9e2bd6b92b	c6a299239a97e65102b89412f2f3dd9e2bd6b92b	是
恢复	knowledge/known-issues.md	5cba9d4bd327072bfff7b855e9a2606adbcc9927	5cba9d4bd327072bfff7b855e9a2606adbcc9927	是
恢复	memory/README.md	e4cf84ce282e388d2dd4ef3ab3577edf3906fac0	e4cf84ce282e388d2dd4ef3ab3577edf3906fac0	是
恢复	memory/features.md	94577031f0e0baa41b9b9941d1ccfac5f2d7fdb5	94577031f0e0baa41b9b9941d1ccfac5f2d7fdb5	是
恢复	memory/handoff.md	3585095c7516969fb3542c438f1da37b9cd0dc5f	3585095c7516969fb3542c438f1da37b9cd0dc5f	是
恢复	memory/issues.md	0798ed4bcd487434a79912a6f53c64c25f88c027	0798ed4bcd487434a79912a6f53c64c25f88c027	是
恢复	memory/state.md	7bbc13336a3a65364238d65282c2e1331e9dc13e	7bbc13336a3a65364238d65282c2e1331e9dc13e	是
恢复	todo/requirement-pool.md	0a56eb8c22989e2537c658415e8916bbf2c9fa6a	0a56eb8c22989e2537c658415e8916bbf2c9fa6a	是
=== 25 合法保留项核对（29f7033 path blob == cece784 path blob）===
分类	path	fix_blob(29f7033)	src_blob(cece784)	相等
保留	product/governance/supplemental-execution-prompt-template.md	4917034dcdca42deeaa5ddf447fd5e58984817de	4917034dcdca42deeaa5ddf447fd5e58984817de	是
保留	product/p51-agent-coding-engine-decoupling/ready/direction-p51-agent-coding-engine-decoupling.md	00932dca173e4af3f3716b70a9f219defc858966	00932dca173e4af3f3716b70a9f219defc858966	是
保留	product/p51-agent-coding-engine-decoupling/receipts/completion-p51-agent-coding-engine-decoupling.md	16897a17f8c414329133be4fe1a7a1d1dafb7b76	16897a17f8c414329133be4fe1a7a1d1dafb7b76	是
保留	product/p51-agent-coding-engine-decoupling/receipts/planning-final-reconciliation-p51-main-terminal-authority-03.md	620d1b31913bac692b28158b5875b384de6ba151	620d1b31913bac692b28158b5875b384de6ba151	是
保留	product/p51-agent-coding-engine-decoupling/receipts/planning-rereview-p51-main-current-state-02.md	34213eb5db9048419548347debd04ed48beac372	34213eb5db9048419548347debd04ed48beac372	是
保留	product/p51-agent-coding-engine-decoupling/receipts/planning-review-p51-agent-coding-engine-decoupling-01.md	969a3507fe35b7bdd39f4c9968e228869cc8748d	969a3507fe35b7bdd39f4c9968e228869cc8748d	是
保留	roles/executor.md	77475866d8169b20b9eb43735fbeafa3bddcce38	77475866d8169b20b9eb43735fbeafa3bddcce38	是
保留	roles/planner.md	d8507f8444dff18f5ff940220d24f5552024d6b7	d8507f8444dff18f5ff940220d24f5552024d6b7	是
保留	search_fallback/p51-branch-decoupling-exploration.md	547507fc9a1d733b9ecb816c03b0da56338a0c7b	547507fc9a1d733b9ecb816c03b0da56338a0c7b	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/01-refs-and-branches.txt	6fd8144c81e536c0c4ea85fb9d5164df626889bf	6fd8144c81e536c0c4ea85fb9d5164df626889bf	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/02-tracks-main-vs-develop.txt	6ced813fe273ba9543c3b32f9a090cffb7a83f93	6ced813fe273ba9543c3b32f9a090cffb7a83f93	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/03-scan-smw-absport-pi-zero-hits.txt	00f78ca09058342a659dcf8f27254bf402f1e3f0	00f78ca09058342a659dcf8f27254bf402f1e3f0	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/04-system-roles-per-commit.txt	e9b3510525db69a0105b85ccfc343f4ee456a5dd	e9b3510525db69a0105b85ccfc343f4ee456a5dd	是
保留	search_fallback/p51-main-current-state-revalidation-evidence/05-governance-selfcheck.txt	bb5dd67766bd2a51c8c5fe551c9b5acf50989422	bb5dd67766bd2a51c8c5fe551c9b5acf50989422	是
保留	search_fallback/p51-main-current-state-revalidation.md	aee0207b9658747b18df89dbb6db5462a4c41d22	aee0207b9658747b18df89dbb6db5462a4c41d22	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/01-p51-tracked-files.txt	080731959cfce7bbffc66d7207392d18fda44b5a	080731959cfce7bbffc66d7207392d18fda44b5a	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/02-file-headers-and-conclusions.txt	5ad7b400092153da49c13fe75b5ab4c8acba1358	5ad7b400092153da49c13fe75b5ab4c8acba1358	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/03-commit-timeline.txt	2493a203cf52969266273f31294ddb2f60053a6b	2493a203cf52969266273f31294ddb2f60053a6b	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/04-completed-authority.txt	3809342817b167ea4c71f900356e0771155d92ac	3809342817b167ea4c71f900356e0771155d92ac	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/05-g04-g06-verdicts.txt	667fd960f8c54639cdb16d6ba77029ab78650b11	667fd960f8c54639cdb16d6ba77029ab78650b11	是
保留	search_fallback/p51-main-terminal-history-reconciliation-evidence/06-tracked-83-vs-70.txt	20c23f23e7f0e05e2eadafb55294f3873e2a1934	20c23f23e7f0e05e2eadafb55294f3873e2a1934	是
保留	search_fallback/p51-main-terminal-history-reconciliation.md	3414612da81901e0090d996e3288049b6e3bb084	3414612da81901e0090d996e3288049b6e3bb084	是
保留	search_task/p51-branch-decoupling-exploration.md	dc9e0568cebb6c236810cea9a9ed4a6cfae4045f	dc9e0568cebb6c236810cea9a9ed4a6cfae4045f	是
保留	search_task/p51-main-current-state-revalidation.md	942e9f38eda279445697c10e7a416a8ab7b4d8ca	942e9f38eda279445697c10e7a416a8ab7b4d8ca	是
保留	search_task/p51-main-terminal-history-reconciliation.md	85418e8f9de7aca423910e18ed3387a33d6efb42	85418e8f9de7aca423910e18ed3387a33d6efb42	是
=== 211 删除项表 ===
分类	path	src_blob(cece784)	retain_commit	retain_path_blob	结果
分类	path	src_commit	src_blob	retain_commit	retain_path	retain_blob	相等/祖先
删除	product/p45-login-security/receipts/evidence-p45-k1-k6/k1-concurrency.json	cece78474c37c552677770a3a249ce1e8e682a80	b839f1802781a7a22cbe1f0bf85b67b01e0b6264	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-k1-k6/k1-concurrency.json	b839f1802781a7a22cbe1f0bf85b67b01e0b6264	相等
删除	product/p45-login-security/receipts/evidence-p45-k1-k6/k1-db-before-after.json	cece78474c37c552677770a3a249ce1e8e682a80	dcef60ff1b8ceb35563b626d08b24077e8ea94cc	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-k1-k6/k1-db-before-after.json	dcef60ff1b8ceb35563b626d08b24077e8ea94cc	相等
删除	product/p45-login-security/receipts/evidence-p45-k1-k6/k2-command.txt	cece78474c37c552677770a3a249ce1e8e682a80	96ced67331b5f028b411a0772bd030e406d0d14e	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-k1-k6/k2-command.txt	96ced67331b5f028b411a0772bd030e406d0d14e	相等
删除	product/p45-login-security/receipts/evidence-p45-k1-k6/k2-rotation-map.json	cece78474c37c552677770a3a249ce1e8e682a80	f9e3b598b380f79231dd30cdb16f86a26f902bc3	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-k1-k6/k2-rotation-map.json	f9e3b598b380f79231dd30cdb16f86a26f902bc3	相等
删除	product/p45-login-security/receipts/evidence-p45-k1-k6/k6-cleanup-manifest.json	cece78474c37c552677770a3a249ce1e8e682a80	fec081893c141f1a0578b5427ab6d796852b8b24	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-k1-k6/k6-cleanup-manifest.json	fec081893c141f1a0578b5427ab6d796852b8b24	相等
删除	product/p45-login-security/receipts/evidence-p45-k1-k6/k6-security-scan.mjs	cece78474c37c552677770a3a249ce1e8e682a80	7ce4dc486a9f0fa7a141be3f993c0f6935db2e35	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-k1-k6/k6-security-scan.mjs	7ce4dc486a9f0fa7a141be3f993c0f6935db2e35	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-command.txt	cece78474c37c552677770a3a249ce1e8e682a80	8bf17e286f95c75107fe2345ba117d77ac0403dd	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-command.txt	8bf17e286f95c75107fe2345ba117d77ac0403dd	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-concurrency.json	cece78474c37c552677770a3a249ce1e8e682a80	7d67607b9aa8d5df844474aa8590cc6714267f14	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-concurrency.json	7d67607b9aa8d5df844474aa8590cc6714267f14	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-cross.json	cece78474c37c552677770a3a249ce1e8e682a80	9909215bdea811e66344c9c5b53a07b8b9143aab	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-cross.json	9909215bdea811e66344c9c5b53a07b8b9143aab	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-db-readback.json	cece78474c37c552677770a3a249ce1e8e682a80	1262a038c62b5dda323f8745fb14832750f4cde8	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-db-readback.json	1262a038c62b5dda323f8745fb14832750f4cde8	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-users.json	cece78474c37c552677770a3a249ce1e8e682a80	104fa1787f12912774618e72559c63ab9f112dce	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l1-users.json	104fa1787f12912774618e72559c63ab9f112dce	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l2-command.txt	cece78474c37c552677770a3a249ce1e8e682a80	7526038ab19b583bc1f0ea074727e61586a90d91	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l2-command.txt	7526038ab19b583bc1f0ea074727e61586a90d91	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l2-rotation-map.json	cece78474c37c552677770a3a249ce1e8e682a80	f9e3b598b380f79231dd30cdb16f86a26f902bc3	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l2-rotation-map.json	f9e3b598b380f79231dd30cdb16f86a26f902bc3	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-after-f5.png	cece78474c37c552677770a3a249ce1e8e682a80	0c71aedaf2a0f0081d948c5aa206b490fe3e6664	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-after-f5.png	0c71aedaf2a0f0081d948c5aa206b490fe3e6664	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-after-logout.png	cece78474c37c552677770a3a249ce1e8e682a80	e40cb34de3aad9741a263104a851609cd09fe08d	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-after-logout.png	e40cb34de3aad9741a263104a851609cd09fe08d	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-before.png	cece78474c37c552677770a3a249ce1e8e682a80	7d748610b1d1130ba43e6c81046849b9deb1bd93	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-before.png	7d748610b1d1130ba43e6c81046849b9deb1bd93	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-command.txt	cece78474c37c552677770a3a249ce1e8e682a80	1ba0de4fe32cd8948d8ca4b345efb86fa484c992	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-command.txt	1ba0de4fe32cd8948d8ca4b345efb86fa484c992	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-deeplink.png	cece78474c37c552677770a3a249ce1e8e682a80	c3646e02b8afc41d12d4e7074ee72efdfe827648	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-deeplink.png	c3646e02b8afc41d12d4e7074ee72efdfe827648	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-network.json	cece78474c37c552677770a3a249ce1e8e682a80	08c0215b8487e1230807794963337b279bc11795	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l3-network.json	08c0215b8487e1230807794963337b279bc11795	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-backend-result.txt	cece78474c37c552677770a3a249ce1e8e682a80	0bf723a63835cf0a72c9b2d580439680e1ec475a	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-backend-result.txt	0bf723a63835cf0a72c9b2d580439680e1ec475a	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-frontend-build.log	cece78474c37c552677770a3a249ce1e8e682a80	9c989f294a8bbf042d2178704f59288d7c47f6d4	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-frontend-build.log	9c989f294a8bbf042d2178704f59288d7c47f6d4	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-frontend-lint.log	cece78474c37c552677770a3a249ce1e8e682a80	dafda4af7812d1862d548d635d9b28af0f36bca0	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-frontend-lint.log	dafda4af7812d1862d548d635d9b28af0f36bca0	相等
删除	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-frontend-test.log	cece78474c37c552677770a3a249ce1e8e682a80	b14ed5aaae75488ae032c2de6910509b545b7c94	0712bb9ed2b888252d4d8be6fe431610e269ddc0	product/p45-login-security/receipts/evidence-p45-l1-l5/l4-frontend-test.log	b14ed5aaae75488ae032c2de6910509b545b7c94	相等
