id	module	name	checklist_status	knowledge_index_status	memory_projection	mapping_P_M_I_ADV	authority	target_status	fix_file	fix_result
M03-F06-01	M03	打印模板/套打配置	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P33	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M04-F01-01	M04	流程设计器/拖拽设计	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P47	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M04-F01-02	M04	流程设计器/节点配置	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P58 已覆盖子集	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M04-F01-03	M04	流程设计器/会签规则	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P34（开放未核销）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M04-F02-01	M04	流程定义/维护	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	workflow-process-def-create + form-binding（X3 登记）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M04-F03-01	M04	流程发起/发起	✅	✅	aggregate-only(✅46/🟦22/⬜22)	process-initiation（X3 登记）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M04-F04-01	M04	流程审批/审批操作	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P58 已覆盖子集	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M04-F05-01	M04	待办中心/任务处理	✅	✅	aggregate-only(✅46/🟦22/⬜22)	bpm-task-center + P4（开放、部分实现未核销）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M04-F06-01	M04	流程监控/跟踪	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	process-monitoring（第 11 个）+ bpmn-adapter	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M04-F07-01	M04	流程规则/条件表达式	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P35（开放未核销）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M04-F08-01	M04	可插拔机制/节点/组件/adapter 可插拔	✅	✅	aggregate-only(✅46/🟦22/⬜22)	bpm-plugin-architecture（第 16 个）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M05-F01-01	M05	消息收发/发送	✅	✅	aggregate-only(✅46/🟦22/⬜22)	notify-batch-send（第 34 个）/ P3 子集	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M05-F01-02	M05	消息收发/接收	✅	✅	aggregate-only(✅46/🟦22/⬜22)	notify-management-closure（第 32 个）/ I41	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M05-F01-03	M05	消息收发/查询	✅	✅	aggregate-only(✅46/🟦22/⬜22)	notify-management-closure / I42	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M05-F02-01	M05	消息模板/维护	✅	✅	aggregate-only(✅46/🟦22/⬜22)	notify-template-management（第 33 个）/ P36	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M06-F01-01	M06	通知渠道/渠道配置	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P37（开放未核销）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M06-F02-01	M06	通知模板/维护	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P38（开放未核销，不新编号）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M06-F03-01	M06	通知规则/触发配置	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P39（开放未核销）	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M06-F04-01	M06	发送记录/记录查询	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P3（已核销 2026-09-07）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F01-01	M07	大模型管理/模型接入	✅	✅	aggregate-only(✅46/🟦22/⬜22)	agent-model-management-frontend（第 23 个）/ P5	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F01-02	M07	大模型管理/动态装载	✅	✅	aggregate-only(✅46/🟦22/⬜22)	同上	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F01-03	M07	大模型管理/参数配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	同上	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F01-04	M07	大模型管理/密钥管理	✅	✅	aggregate-only(✅46/🟦22/⬜22)	同上	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F01-05	M07	大模型管理/连通性测试	✅	✅	aggregate-only(✅46/🟦22/⬜22)	同上	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F02-01	M07	调度图编排/图设计器	✅	✅	aggregate-only(✅46/🟦22/⬜22)	agent-model-orchestration（第 15 个）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F02-02	M07	调度图编排/节点配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	agent-graph-prompt-configuration（第 28 个）/ P6	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F02-03	M07	调度图编排/图管理	✅	✅	aggregate-only(✅46/🟦22/⬜22)	agent-model-orchestration	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F02-04	M07	调度图编排/调试运行	✅	✅	aggregate-only(✅46/🟦22/⬜22)	agent-graph-execution-observability（第 27 个）+ agent-graph-step-debugging（第 30 个）/ P7	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F03-01	M07	智能助手/助手配置	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P18	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M07-F03-02	M07	智能助手/工具/函数调用	✅	✅	aggregate-only(✅46/🟦22/⬜22)	agent-tool-configuration-frontend（第 31 个）/ P48	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M07-F03-03	M07	智能助手/知识库	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P19	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M07-F04-01	M07	对话交互/对话窗口	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P20	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M07-F04-02	M07	对话交互/会话管理	✅	✅	aggregate-only(✅46/🟦22/⬜22)	agent-token-usage-observability（第 29 个）/ P8	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F01-01	M08	接入配置/原生MQTT配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F01-02	M08	接入配置/腾讯IoT配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F01-03	M08	接入配置/连接管理	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F02-01	M08	设备管理/设备维护	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F02-02	M08	设备管理/状态监控	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F03-01	M08	Topic管理/订阅	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F03-02	M08	Topic管理/发布配置	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F04-01	M08	消息控制/按钮发送	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P21	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M08-F04-02	M08	消息控制/定时发送	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P21	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M08-F04-03	M08	消息控制/数据上报	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F04-04	M08	消息控制/消息日志	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F05-01	M08	硬件编排/规则编排	✅	✅	aggregate-only(✅46/🟦22/⬜22)	P21（已核销 2026-09-08）	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M08-F05-02	M08	硬件编排/指令模板	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P21	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M09-F01-01	M09	应用管理/应用维护	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M09-F02-01	M09	接口授权/权限范围	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M09-F03-01	M09	鉴权认证/签名鉴权	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M09-F03-02	M09	鉴权认证/访问控制	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M09-F04-01	M09	流量控制/限流配额	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M09-F05-01	M09	回调通知/Webhook	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M09-F06-01	M09	接口文档/在线文档	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M09-F07-01	M09	调用日志/日志监控	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	-	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M10-F01-01	M10	系统监控/运行监控	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P49	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
M10-F02-01	M10	日志管理/日志查询	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P40	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M10-F02-02	M10	日志管理/动态日志级别	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P41	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M10-F03-01	M10	定时任务/任务调度	✅	✅	aggregate-only(✅46/🟦22/⬜22)	job-scheduler（第 5 个）/ I43	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M10-F04-01	M10	数据字典/字典维护	✅	✅	aggregate-only(✅46/🟦22/⬜22)	system-mgmt-crud	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M10-F05-01	M10	参数配置/系统参数	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P42	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M10-F06-01	M10	文件管理/文件存储	✅	✅	aggregate-only(✅46/🟦22/⬜22)	storage-multi-provider（第 4 个）/ I44	功能清单.md 行 + feature-reconciliation-index §1 行	✅	无需修正	CONSISTENT
M10-F07-01	M10	数据备份/备份恢复	⬜	⬜	aggregate-only(✅46/🟦22/⬜22)	P43	功能清单.md 行 + feature-reconciliation-index §1 行	⬜	无需修正	CONSISTENT
M10-F08-01	M10	接口管理/API管理	🟦	🟦	aggregate-only(✅46/🟦22/⬜22)	P50	功能清单.md 行 + feature-reconciliation-index §1 行	🟦	无需修正	CONSISTENT
