PROCESS_APPROVED | 10001 | IN_APP | SUCCESS | 您的申请已通过 | 1 | bc9084ce-b017-11f1-9250-00ffa7734675 | 2026-09-14 16:42:43.019398
SYSTEM | 10001 | EMAIL | FAILED | G3e-I 解析矩阵 valid-self | 1 | g3ei-valid-self | 2026-09-14 17:59:10.868556
SYSTEM | 999999 | EMAIL | FAILED | G3e-I 解析矩阵 missing-user | 1 | g3ei-missing-user | 2026-09-14 17:59:10.89
SYSTEM | 20001 | EMAIL | FAILED | G3e-I 解析矩阵 cross-tenant | 1 | g3ei-cross-tenant | 2026-09-14 17:59:10.908085
SYSTEM | 1 | EMAIL | FAILED | G3e-I 解析矩阵 deleted-user | 1 | g3ei-deleted-user | 2026-09-14 17:59:10.924596
SYSTEM | 10003 | EMAIL | FAILED | G3e-I 解析矩阵 no-email-user | 1 | g3ei-no-email-user | 2026-09-14 17:59:10.941995
SYSTEM | 10001 | EMAIL | FAILED | G3e-I 解析矩阵 idem-e1 | 1 | g3ei-idem-e1 | 2026-09-14 17:59:10.958999
SYSTEM | 10003 | IN_APP | SUCCESS | I6G6A 抄送 | 1 | 21bca43c-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:14.790322
SYSTEM | 10001 | IN_APP | SUCCESS | I6G6A 抄送 | 1 | 21bca43c-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:14.800323
TASK_COMMUNICATED | 10003 | IN_APP | SUCCESS | 您收到一条沟通征询 | 1 | 37872c5f-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:31.936877
TASK_DEADLINE_ALERT | 10002 | IN_APP | SUCCESS | 办理时限提醒 | 1 | f549f3da-b02c-11f1-af29-00ffa7734675 | 2026-09-14 19:12:44.424361
TASK_DELEGATED | 10003 | IN_APP | SUCCESS | 您收到一条委托任务 | 1 | 10873199-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:27.34135
TASK_SIGN_REQUESTED | 10003 | IN_APP | SUCCESS | 您收到一条加签任务 | 1 | 4748606f-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:58.526752
TASK_TRANSFERRED | 10003 | IN_APP | SUCCESS | 您收到一条转办任务 | 1 | 0f3d7376-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:25.16043
TASK_URGE | 10002 | IN_APP | SUCCESS | 催办提醒 | 2982306 | 16cc3c94-b028-11f1-a7d5-00ffa7734675 | 2026-09-14 19:07:58.797955
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | bc97148b-b017-11f1-9250-00ffa7734675 | 2026-09-14 16:39:02.149134
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 6c668eae-b018-11f1-9250-00ffa7734675 | 2026-09-14 16:43:57.018843
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | a7bbb4f4-b01e-11f1-9198-00ffa7734675 | 2026-09-14 17:28:33.61237
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | d0191c97-b01e-11f1-9198-00ffa7734675 | 2026-09-14 17:29:41.267806
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | d0191c97-b01e-11f1-9198-00ffa7734675 | 2026-09-14 17:29:41.304177
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 1fedd4ba-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:33.203026
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 1fedd4ba-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:33.219554
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 21f5649d-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:36.591965
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 21f5649d-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:00:36.605825
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 44e52e10-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:35.234675
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 44e52e10-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:35.2505
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 46f34da3-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:38.666657
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 46f34da3-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:38.680655
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 52a206b6-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:58.257347
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 52a206b6-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:01:58.273108
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 56fe5c06-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:05.592859
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 56fe5c06-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:05.608039
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 6a780436-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:38.265669
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 6a780436-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:38.282047
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 6cdf6659-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:42.289553
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 6cdf6659-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:02:42.303949
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 83bf1cec-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:03:20.668075
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 83bf1cec-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:03:20.681795
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 962161af-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:03:51.514516
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 962161af-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:03:51.530517
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | ac353cc2-b023-11f1-9198-00ffa7734675 | 2026-09-14 18:04:28.544453
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | d50d8480-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:46.623782
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | d50d8480-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:46.63678
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | d749e000-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:50.319478
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | d749e000-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:50.332065
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | d8e20c40-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:52.982091
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | d8e20c40-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:52.996946
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | da7a3880-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:55.648688
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | da7a3880-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:55.659232
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | dc11a170-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:58.333932
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | dc11a170-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:12:58.345934
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | e3b384d0-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:11.133055
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | e3b384d0-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:11.14534
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | e5b129a0-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:14.471623
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | e5b129a0-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:14.481622
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | e76b34c3-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:17.400038
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | e76b34c3-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:17.411994
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | e9116ac3-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:20.125275
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | e9116ac3-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:20.134453
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | eaa77423-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:22.794296
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | eaa77423-b024-11f1-a00c-00ffa7734675 | 2026-09-14 18:13:22.806295
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 0f3d9a93-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:24.176671
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 0f3d9a93-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:24.188671
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 108731a6-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:26.358086
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 108731a6-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:26.371913
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 11d2013c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:28.503193
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 11d2013c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:28.513008
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 12ccdc0c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:30.136324
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 12ccdc0c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:30.144715
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 1c85b88c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:46.475413
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 1c85b88c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:14:46.487132
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 24c191fc-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:00.271617
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 24c191fc-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:00.281139
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 37872c6c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:31.766905
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 37872c6c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:31.77865
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 4748878c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:58.199111
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 4748878c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:58.209306
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 47f7b35c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:59.344947
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 47f7b35c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:15:59.354865
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 48a5f4cc-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:16:00.511552
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 48a5f4cc-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:16:00.527553
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 868afcfc-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:17:44.349958
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 868afcfc-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:17:44.361959
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 981e800c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:18:13.817252
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 981e800c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:18:13.829391
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | a055014c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:18:27.597342
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | a055014c-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:18:27.608341
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | a19ceaac-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:18:29.737562
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | a19ceaac-b025-11f1-a00c-00ffa7734675 | 2026-09-14 18:18:29.747562
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 9cc380cf-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:31.402691
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 9cc380cf-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:31.441718
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | aab720d6-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:54.512555
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | aab720d6-b026-11f1-a00c-00ffa7734675 | 2026-09-14 18:25:54.527556
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 1bec4c99-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:04.456122
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 1bec4c99-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:04.469121
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 21bca449-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:14.195545
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 21bca449-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:29:14.205639
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 57e16bc2-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:30:45.048732
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 57e16bc2-b027-11f1-a00c-00ffa7734675 | 2026-09-14 18:30:45.061337
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 16d3b6b1-b028-11f1-a7d5-00ffa7734675 | 2026-09-14 18:36:05.452233
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 16d3b6b1-b028-11f1-a7d5-00ffa7734675 | 2026-09-14 18:36:05.466069
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | 6fa9bb07-b02c-11f1-af29-00ffa7734675 | 2026-09-14 19:07:12.473452
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | 6fa9bb07-b02c-11f1-af29-00ffa7734675 | 2026-09-14 19:07:12.511043
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | a5f40bda-b02c-11f1-af29-00ffa7734675 | 2026-09-14 19:08:43.517893
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | a5f40bda-b02c-11f1-af29-00ffa7734675 | 2026-09-14 19:08:43.531886
TODO_CREATED | 10002 | IN_APP | SUCCESS | 您有一条待办 | 1 | f549f3da-b02c-11f1-af29-00ffa7734675 | 2026-09-14 19:10:56.633315
TODO_CREATED | 10002 | EMAIL | FAILED | 您有一条待办 | 1 | f549f3da-b02c-11f1-af29-00ffa7734675 | 2026-09-14 19:10:56.645316
