2026-09-12T01:07:11.176+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=191a39e3-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:11.608+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=1972ba23-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:11.613+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458112172933122, taskId=19781163-ae03-11f1-b512-d24845ae031d
2026-09-12T01:07:11.659+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=197d8fb3-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:11.694+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19844683-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:11.779+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=1925d2c3-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:11.826+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19290723-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:11.918+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=195dd253-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:11.997+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19621823-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.000+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458111699013633, taskId=19612db3-ae03-11f1-bb6e-d24845ae031d
2026-09-12T01:07:12.145+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=196832b3-ae03-11f1-b512-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.237+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=197a5b13-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.334+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=1987c8a3-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.342+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458113078939650, taskId=19989193-ae03-11f1-bb6e-d24845ae031d
2026-09-12T01:07:12.407+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19a00bb3-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.445+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19a7fb03-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.447+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458113699696642, taskId=19af4e13-ae03-11f1-bb6e-d24845ae031d
2026-09-12T01:07:12.499+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19b54193-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.535+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19bc1f73-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.580+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19c23a03-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.582+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458114387562497, taskId=19c82d83-ae03-11f1-bb6e-d24845ae031d
2026-09-12T01:07:12.641+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19ce4813-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.692+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19d39f53-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:12.697+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458114953793538, taskId=19dcc723-ae03-11f1-bb6e-d24845ae031d
2026-09-12T01:07:12.749+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19e5eef3-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:13.329+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19ebba63-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:13.340+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458115540996098, taskId=19f24a23-ae03-11f1-bb6e-d24845ae031d
2026-09-12T01:07:13.698+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19f88bc3-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:13.906+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限自动动作完成: taskId=19fecd63-ae03-11f1-bb6e-d24845ae031d, action=APPROVE
2026-09-12T01:07:13.913+08:00  INFO 26398 --- [   scheduling-1] c.s.c.b.p.service.TaskDeadlineScheduler  : 时限已被其他实例认领，本实例跳过: deadlineId=2098458116027535361, taskId=1a0424a3-ae03-11f1-bb6e-d24845ae031d
